experiment_id,run_id,match_type,game_index,total_games,model_a_name,model_a_path,model_b_name,model_b_path,black_player,white_player,winner,winner_model,result_for_model_a,winner_type,moves,illegal_moves,black_infer_ms_avg,white_infer_ms_avg,black_total_infer_ms,white_total_infer_ms,game_seconds,decision_mode,seed,opening_id,start_moves,device,torch_version,gpu_name,notes
matrix100_base_vs_snn_e05,20260603_021815,model_vs_model,1,100,base_M64_E05,artifacts\base_models\M64\base_M64_E05.pth,SNN_M64_B3_T6_E05,artifacts\snn_models\SNN_M64_B3_T6_E05.pth,base_M64_E05,SNN_M64_B3_T6_E05,black,base_M64_E05,1.0,five_in_row,135,0,2.422539705896591,9.822264179201195,164.73270000096818,658.0917000064801,0.8431884999990871,greedy_argmax,42,,,cuda,2.11.0+cu128,NVIDIA GeForce RTX 5060 Laptop GPU,
matrix100_base_vs_snn_e05,20260603_021815,model_vs_model,2,100,base_M64_E05,artifacts\base_models\M64\base_M64_E05.pth,SNN_M64_B3_T6_E05,artifacts\snn_models\SNN_M64_B3_T6_E05.pth,SNN_M64_B3_T6_E05,base_M64_E05,black,SNN_M64_B3_T6_E05,-1.0,five_in_row,67,0,9.86635294109018,2.329103030647137,335.4559999970661,76.86040001135552,0.4219935000000987,greedy_argmax,42,,,cuda,2.11.0+cu128,NVIDIA GeForce RTX 5060 Laptop GPU,
matrix100_base_vs_snn_e05,20260603_021815,model_vs_model,3,100,base_M64_E05,artifacts\base_models\M64\base_M64_E05.pth,SNN_M64_B3_T6_E05,artifacts\snn_models\SNN_M64_B3_T6_E05.pth,base_M64_E05,SNN_M64_B3_T6_E05,black,base_M64_E05,1.0,five_in_row,135,0,2.4385308823933456,9.79163582071205,165.8201000027475,656.0395999877073,0.8416503999997076,greedy_argmax,42,,,cuda,2.11.0+cu128,NVIDIA GeForce RTX 5060 Laptop GPU,
matrix100_base_vs_snn_e05,20260603_021815,model_vs_model,4,100,base_M64_E05,artifacts\base_models\M64\base_M64_E05.pth,SNN_M64_B3_T6_E05,artifacts\snn_models\SNN_M64_B3_T6_E05.pth,SNN_M64_B3_T6_E05,base_M64_E05,black,SNN_M64_B3_T6_E05,-1.0,five_in_row,67,0,10.065011764709197,2.4304090912857754,342.2104000001127,80.2035000124306,0.4336092000012286,greedy_argmax,42,,,cuda,2.11.0+cu128,NVIDIA GeForce RTX 5060 Laptop GPU,
matrix100_base_vs_snn_e05,20260603_021815,model_vs_model,5,100,base_M64_E05,artifacts\base_models\M64\base_M64_E05.pth,SNN_M64_B3_T6_E05,artifacts\snn_models\SNN_M64_B3_T6_E05.pth,base_M64_E05,SNN_M64_B3_T6_E05,black,base_M64_E05,1.0,five_in_row,135,0,2.4567735293952437,9.728697014812061,167.06059999887657,651.8226999924082,0.8382741000004899,greedy_argmax,42,,,cuda,2.11.0+cu128,NVIDIA GeForce RTX 5060 Laptop GPU,
matrix100_base_vs_snn_e05,20260603_021815,model_vs_model,6,100,base_M64_E05,artifacts\base_models\M64\base_M64_E05.pth,SNN_M64_B3_T6_E05,artifacts\snn_models\SNN_M64_B3_T6_E05.pth,SNN_M64_B3_T6_E05,base_M64_E05,black,SNN_M64_B3_T6_E05,-1.0,five_in_row,67,0,9.944588235317925,2.4531242423549746,338.11600000080944,80.95309999771416,0.42845820000002277,greedy_argmax,42,,,cuda,2.11.0+cu128,NVIDIA GeForce RTX 5060 Laptop GPU,
matrix100_base_vs_snn_e05,20260603_021815,model_vs_model,7,100,base_M64_E05,artifacts\base_models\M64\base_M64_E05.pth,SNN_M64_B3_T6_E05,artifacts\snn_models\SNN_M64_B3_T6_E05.pth,base_M64_E05,SNN_M64_B3_T6_E05,black,base_M64_E05,1.0,five_in_row,135,0,2.503048529299978,10.21625373130573,170.20729999239848,684.4889999974839,0.8739177999996173,greedy_argmax,42,,,cuda,2.11.0+cu128,NVIDIA GeForce RTX 5060 Laptop GPU,
matrix100_base_vs_snn_e05,20260603_021815,model_vs_model,8,100,base_M64_E05,artifacts\base_models\M64\base_M64_E05.pth,SNN_M64_B3_T6_E05,artifacts\snn_models\SNN_M64_B3_T6_E05.pth,SNN_M64_B3_T6_E05,base_M64_E05,black,SNN_M64_B3_T6_E05,-1.0,five_in_row,67,0,11.379388235207657,2.597027272823845,386.89919999706035,85.70190000318689,0.4830571000002237,greedy_argmax,42,,,cuda,2.11.0+cu128,NVIDIA GeForce RTX 5060 Laptop GPU,
matrix100_base_vs_snn_e05,20260603_021815,model_vs_model,9,100,base_M64_E05,artifacts\base_models\M64\base_M64_E05.pth,SNN_M64_B3_T6_E05,artifacts\snn_models\SNN_M64_B3_T6_E05.pth,base_M64_E05,SNN_M64_B3_T6_E05,black,base_M64_E05,1.0,five_in_row,135,0,2.8541999999748335,11.674782089561523,194.08559999828867,782.210400000622,0.9978755000011006,greedy_argmax,42,,,cuda,2.11.0+cu128,NVIDIA GeForce RTX 5060 Laptop GPU,
matrix100_base_vs_snn_e05,20260603_021815,model_vs_model,10,100,base_M64_E05,artifacts\base_models\M64\base_M64_E05.pth,SNN_M64_B3_T6_E05,artifacts\snn_models\SNN_M64_B3_T6_E05.pth,SNN_M64_B3_T6_E05,base_M64_E05,black,SNN_M64_B3_T6_E05,-1.0,five_in_row,67,0,10.852691176564,2.6287000000593252,368.99150000317604,86.74710000195773,0.46581940000032773,greedy_argmax,42,,,cuda,2.11.0+cu128,NVIDIA GeForce RTX 5060 Laptop GPU,
